XGBClassifier,CatBoostClassifier,RandomForestClassifier,LogisticRegression,DecisionTreeClassifier
0.85995085995086,0.861998361998362,0.8357903357903358,0.8423423423423423,0.8042588042588042
0.8615888615888616,0.8628173628173628,0.8316953316953317,0.8468468468468469,0.821048321048321
0.8660933660933661,0.8665028665028665,0.8435708435708436,0.8419328419328419,0.821048321048321
0.8767403767403767,0.8751023751023751,0.8583128583128583,0.8554463554463555,0.8316953316953317
0.8673218673218673,0.8697788697788698,0.8407043407043407,0.8411138411138411,0.8149058149058149
0.8697788697788698,0.8746928746928747,0.8447993447993448,0.8513513513513513,0.8267813267813268
0.8820638820638821,0.8824733824733825,0.8517608517608518,0.8480753480753481,0.8157248157248157
0.8734643734643734,0.8751023751023751,0.8480753480753481,0.8517608517608518,0.8136773136773137
0.8636363636363636,0.8693693693693694,0.8378378378378378,0.8472563472563472,0.8206388206388207
0.8763308763308764,0.877968877968878,0.8554463554463555,0.8562653562653563,0.8165438165438166
